title,region,prices
ЖК «Селигер Сити»,"Москва, САО, Западное Дегунино",
ЖК «Дом в Олимпийской Деревне»,"Москва, ЗАО, Тропарево-Никулино",
ЖК «Кварталы 21/19»,"Москва, ЮВАО, Рязанский",
ЖК «Ясный»,"Москва, ЮАО, Орехово-Борисово Южное",
ЖК «Sampo» (Сампо),"Московская область, Обушковское С/П",
ЖК «Лидер на Пресне»,"Москва, ЦАО, Пресненский",
ЖК «Фили Сити»,"Москва, ЗАО, Филевский Парк",
ЖК «Воробьёв дом»,"Москва, ЗАО, Раменки",
ЖК «Альтаир»,"Московская область, Химки",
ЖК «Химки 2019»,"Московская область, Химки городской округ",
ЖК «Дом на Вешняковской»,"Москва, ВАО, Вешняки",
МФК «Флотилия»,"Москва, САО, Ховрино",
ЖК «Лобачевского 120»,"Москва, ЗАО, Раменки",
Жилой квартал «Царская площадь»,"Москва, САО, Беговой",
ЖК «RedSide» («РедСайд»),"Москва, ЦАО, Пресненский",
ЖК «Лидер в Тушино»,"Москва, СЗАО, Северное Тушино",
Жилой квартал «Символ»,"Москва, ЮВАО, Лефортово",
ЖК «Родной город. Октябрьское поле»,"Москва, СЗАО, Щукино",
ЖК «Дом на Абрамцевской»,"Москва, СВАО, Лианозово",
МФК «Balchug Residence» («Балчуг Резиденс»),"Москва, ЦАО, Замоскворечье",
ЖК «Лица»,"Москва, САО, Хорошевский",
ЖК «Сердце столицы»,"Москва, СЗАО, Хорошево-Мневники",
МФК «ОКО»,"Москва, ЦАО, Пресненский",
ЖК «Сказка»,"Московская область, Павло-Слободское С/П",
ЖК «Донской Олимп»,"Москва, ЮАО, Донской",
ЖК «City Park» («Сити Парк»),"Москва, ЦАО, Пресненский",
ЖК «Битцевские холмы»,"Московская область, Видное Г/П",
ЖК «Город»,"Москва, САО, Дмитровский",
ЖК «Родной город. Каховская»,"Москва, ЮЗАО, Зюзино",
ЖК «Ленинградский»,"Московская область, Химки",
ЖК «Мосфильмовский»,"Москва, ЗАО, Раменки",
ЖК «МИР Митино»,"Москва, СЗАО, Митино",
